Nº;Ambiente;Entidade / Órgão Proponente;Município;Área Temática / Conhecimento;Ano;;;
472;PARQUE TECNOLÓGICO DE ITAIPU -PTI;PARQUE TECNOLÓGICO PTI;FOZ DO IGUAÇU;Parque Tecnológico em operação;2023;;;
473;PARQUE TECNOLÓGICO DE PATO BRANCO;PREFEITURA MUNICIPAL;PATO BRANCO;Parque Tecnológico em operação;2023;;;
474;PARQUE TECNOLÓGICO EM BIOECONOMIA – SENAI TELÊMACO BORBA;SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL – SENAI;TELÊMACO BORBA;Parque Tecnológico em operação;2024;;;
475;PARQUE TECNOLÓGICO DA INDÚSTRIA;FEDERAÇÃO DAS INDÚSTRIAS DO PARANÁ - FIEP;CURITIBA;Parque Tecnológico em operação;2024;;;
476;BIOTECH CENTER;PREFEITURA DO MUNICÍPIO DE ARAUCÁRIA;ARAUCARIA;Parque Tecnológico em planejamento;2023;;;
477;"ASSOCIAÇÃO PARA O DESENVOLVIMENTO TECNOLÓGICO E INDUSTRIAL DO SUDOESTE-
SUDOTEC";PREFEITURA MUNICIPAL;DOIS VIZINHOS;Parque Tecnológico em planejamento;2023;;;
478;PARQUE CIENTÍFICO E TECNOLÓGICO DA UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ, CAMPUS CORNÉLIO PROCÓPIO;UTFPR CAMPUS CORNÉLIO PROCÓPIO;CORNÉLIO PROCÓPIO;Parque Tecnológico em planejamento;2023;;;
479;PARQUE CIENTÍFICO E TECNOLÓGICO DA UTFPR-LD;UTFPR CAMPUS LONDRIN;LONDRINA;Parque Tecnológico em planejamento;2023;;;
480;PARQUE CIENTÍFICO E TECNOLÓGICO EM ENERGIAS RENOVÁVEIS, TECNOLOGIAS EMERGENTES E MOVELEIROS (ERTEM);PREFEITURA MUNICIPAL DE ARAPONGAS;ARAPONGA;Parque Tecnológico em planejamento;2023;;;
481;"PARQUE DE AGROINOVAÇÃO DE PARANAVAÍ –
AGRO+I";PREFEITURA MUNICIPAL;PARANAVAÍ;Parque Tecnológico em planejamento;2023;;;
482;PARQUE TECNOLÓGICO DE CLEVELÂNDIA;PREFEITURA MUNICIPAL;CLEVELÂNDIA;Parque Tecnológico em planejamento;2023;;;
483;PARQUE TECNOLÓGICO DE JACAREZINHO;PREFEITURA MUNICIPAL;JACAREZINHO;Parque Tecnológico em planejamento;2023;;;
484;PARQUE TECNOLÓGICO SOFTWARE BY MARINGÁ;PREFEITURA MUNICIPAL;MARINGÁ;Parque Tecnológico em planejamento;2023;;;
485;PARQUE TECNOLÓGICO SUL DO PARANÁ - VALE DO IGUAÇU;PREFEITURA MUNICIPAL;UNIÃO DA VITORIA;Parque Tecnológico em planejamento;2023;;;
486;"SABER-TEC: RUMO À INOVAÇÃO E
SUSTENTABILIDADE";SOCIEDADE RURAL DA LAPA;LAPA;Parque Tecnológico em planejamento;2023;;;
487;PARQUE TECNOLÓGICO AGROLEITE;CASTROLANDA - COOPERATIVA AGROINDUSTRIAL LTDA;CASTRO;Parque Tecnológico em planejamento;2024;;;
488;PARQUE TECNOLÓGICO FAZENDA REFÚGIO;COMPANHIA DE HABITAÇÃO DE LONDRINA - COHAB - LD;LONDRINA;Parque Tecnológico em planejamento;2024;;;
489;PARQUE TECNOLÓGICO MINIGUAÇU DE FRANCISCO BELTRÃO;PREFEITURA MUNICIPAL DE FRANCISCO BELTRÃO;FRANCISCO BELTRÃO;Parque Tecnológico em planejamento;2024;;;
490;VILA TECH - PARQUE DE SOFTWARE DE CASCAVEL;FUNDAÇÃO PARA O DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO;CASCAVEL;Parque Tecnológico em planejamento;2024;;;
